TIPO,OPERACIÓN,DESPACHO,NOMBRE,CAPACIDAD NETA [MW],OPERADOR,INICIO OPERACION,MUNICIPIO,DEPARTAMENTO,SUBÁREA
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        AMALFI,"0,81",HZ ENERGY S.A.S. E.S.P.,05/08/2007,AMALFI,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        AMERICA,"0,41",EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,01/01/1997,MEDELLÍN,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        ASNAZU,"0,45",VATIA S.A. E.S.P.,01/01/1934,SUÁREZ,CAUCA,SubArea Valle
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        BAYONA,"0,6",EMPRESAS PUBLICAS DE CALARCA ESP,01/01/1943,CALARCÁ,QUINDÍO,SubArea CQR
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        BELLO,"0,35",EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,01/01/1997,BELLO,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        CAMPESTRE (CALARCA),"0,7",EMPRESAS PUBLICAS DE CALARCA ESP,01/01/1956,CALARCÁ,QUINDÍO,SubArea CQR
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        CAMPESTRE (EPM),"0,87",EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,01/01/1997,MEDELLÍN,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        EL COCUYO,"0,7",P.CH EL COCUYO SAS ESP,20/05/2016,VERSALLES,VALLE DEL CAUCA,SubArea Valle
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        GUACAICA,"0,86",EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,01/01/1992,NEIRA,CALDAS,SubArea CQR
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        INTERMEDIA,"0,96",EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,01/01/1974,MANIZALES,CALDAS,SubArea CQR
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        INZA,"0,75",VATIA S.A. E.S.P.,05/02/2009,INZÁ,CAUCA,SubArea Huila-Tolima
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        LA FRISOLERA,"0,47",SIGMA2 COMERCIALIZADORA  DE ENERGIA ELECTRICA SAS ESP,29/04/2016,SALAMINA,CALDAS,SubArea CQR
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        LA REBUSCA,"0,7",HZ ENERGY S.A.S. E.S.P.,24/07/2014,SAN ROQUE,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        LAS VIOLETAS,"0,945",P.CH EL COCUYO SAS ESP,30/03/2022,SAN ROQUE,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        MONDOMO,"0,75",VATIA S.A. E.S.P.,01/01/1958,SANTANDER DE QUILICHAO,CAUCA,SubArea Cauca-Narino
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        NUTIBARA,"0,75",EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,01/01/1997,MEDELLÍN,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        OVEJAS,"0,82",VATIA S.A. E.S.P.,01/01/1939,BUENOS AIRES,CAUCA,SubArea Valle
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        PASTALES,"0,7",HIDROTOLIMA S.A. E.S.P.,18/02/2004,IBAGUÉ,TOLIMA,SubArea Huila-Tolima
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        POCUNE,1,SPECTRUM RENOVAVEIS S.A.S. E.S.P.,31/12/2020,REMEDIOS,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        REMEDIOS,"0,75",COMPAÑÍA INTEGRAL ENERGETICA S.A.S E.S.P,19/09/2007,REMEDIOS,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        RIO GRANDE,"0,3",EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,01/12/2007,DONMATÍAS,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        RIO RECIO,"0,984",HIDROTOLIMA S.A. E.S.P.,01/11/1958,LÉRIDA,TOLIMA,SubArea Huila-Tolima
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        RIOFRIO (TAMESIS),1,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,01/01/1951,TÁMESIS,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        SAN FRANCISCO (PUTUMAYO),"0,468",SIGMA2 COMERCIALIZADORA  DE ENERGIA ELECTRICA SAS ESP,15/12/2012,SAN FRANCISCO,PUTUMAYO,SubArea Cauca-Narino
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        SAN JOSE,"0,38",FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.,16/11/2003,PENSILVANIA,CALDAS,SubArea CQR
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        SAN JOSE DE LA MONTAÑA,"0,4",EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.,30/07/2007,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        SILVIA,"0,38",VATIA S.A. E.S.P.,01/01/1994,SILVIA,CAUCA,SubArea Cauca-Narino
HIDRÁULICA,GENERADOR DISTRIBUIDO,NO DESPACHADA CENTRALMENTE,        UNION,"0,7",EMPRESAS PUBLICAS DE CALARCA ESP,01/01/1935,CALARCÁ,QUINDÍO,SubArea CQR
HIDRÁULICA,AUTOGENERADOR,NO DESPACHADA CENTRALMENTE,        AUTOG ARGOS EL CAIRO,"6,5",EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,29/09/2017,SANTA BÁRBARA,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,AUTOGENERADOR,NO DESPACHADA CENTRALMENTE,        AUTOG AYURA,"16,7",EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,26/10/1983,ENVIGADO,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,AUTOGENERADOR,NO DESPACHADA CENTRALMENTE,        AUTOG CANTAYUS,"4,32",GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,20/05/2017,CISNEROS,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,AUTOGENERADOR,NO DESPACHADA CENTRALMENTE,        AUTOG CEMENTOS DEL NARE,9,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,01/09/2004,PUERTO NARE,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,AUTOGENERADOR,NO DESPACHADA CENTRALMENTE,        AUTOG GRAN COLOMBIA GOLD,1,PROELECTRICA S.A.S E.S.P.,31/05/2022,REMEDIOS,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        AGUA FRESCA,"7,29",ENERGIA DEL RIO PIEDRAS S.A. E.S.P,10/04/2008,JERICÓ,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        ALEJANDRIA,17,GENERADORA ALEJANDRIA S.A.S. E.S.P.,02/03/2017,ALEJANDRÍA,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        ALTO TULUA,"19,9",CELSIA COLOMBIA S.A. E.S.P.,28/05/2012,TULUÁ,VALLE DEL CAUCA,SubArea Valle
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        AMAIME,"19,17",CELSIA COLOMBIA S.A. E.S.P.,06/01/2011,PALMIRA,VALLE DEL CAUCA,SubArea Valle
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        AURES BAJO,"19,4",AURES BAJO S.A.S. E.S.P.,12/12/2018,SONSÓN,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        BAJO TULUA,"19,9",CELSIA COLOMBIA S.A. E.S.P.,30/01/2015,TULUÁ,VALLE DEL CAUCA,SubArea Valle
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        BARROSO,"19,9",ISAGEN S.A. E.S.P.,30/11/2012,SALGAR,ANTIOQUIA,SubArea Antioquia
